#ステージ横幅、縦幅
20,11
#プレイヤー開始位置
17,8
#お宝位置
1,4
#召喚可能なモンスター
1,1
#初期SP
5
#マップ情報
5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,0,8,0,8,0,8,0,8,8,8,8,0,0,0
0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,0,0,0,7,0
0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,0,0,7,5,0
0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,0,8,5,5,0
8,8,8,0,0,5,0,0,0,0,0,5,0,5,9,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,0,8
5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,5,5,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,5
5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
