#ステージ横幅、縦幅
20,11
#プレイヤー開始位置
1,7,0
#お宝位置
18,7
#召喚可能なモンスター
0,0,1
#初期SP
5
#マップ情報
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,8,8,6,0,0,0,7,8,9,0,0,7,8,8,8,8,8,8,8,5
5,5,5,6,0,0,7,5,5,6,0,7,5,5,5,5,5,5,5,5,5
5,5,5,5,8,8,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5
#モンスターの出現情報
1,0,16,7,1
