#ステージ横幅、縦幅
20,14
#プレイヤー開始位置
1,10
#お宝位置
2,2
#召喚可能なモンスター
1,1,1
#初期SP
5
#マップ情報
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,5,5,5,8,8,8,9,0,0,0,0,0,0,0,0,0,0,0,4
5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,4
2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
5,5,6,0,0,0,7,8,9,0,0,7,8,8,8,8,8,8,5,5
5,5,5,8,8,8,5,5,5,8,8,5,5,5,5,5,5,5,5,5
#敵モンスターの出現情報
0,15,11,1
