#ステージ横幅、縦幅
15,19
#プレイヤー開始位置
12,4,1
#お宝位置
1,17
#召喚可能なモンスター
1
#初期SP
0
#マップ情報
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,7,8,9,0,0,0,0,0,0,4
6,0,0,7,8,5,5,5,8,8,8,8,8,8,5
6,0,0,0,0,0,0,0,0,5,0,0,0,0,4
6,0,0,0,0,0,0,0,0,5,0,0,0,0,4
6,0,0,0,0,0,0,0,0,5,0,0,0,0,4
6,0,0,0,0,0,0,0,0,5,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,8,8,8,8,8,8,8,8,8,8,9,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,7,9,0,0,0,0,0,0,0,0,4
6,0,0,0,4,6,0,0,0,0,0,0,0,0,4
5,8,8,8,5,5,8,8,8,8,8,8,8,8,5
#モンスターの出現情報
0,0,1,10,1
0,0,2,10,1
0,0,4,10,1
0,0,8,9,1
0,0,8,10,1
