#ステージ横幅、縦幅
17,13
#プレイヤー開始位置
1,2
#お宝位置
1,8
#召喚可能なモンスター
1,0
#初期SP
6
#マップ情報
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,8,8,8,0,8,8,0,8,8,8,9,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,5
6,0,0,0,0,0,0,0,0,0,0,7,5,5,5,5,5
5,8,9,0,0,0,0,0,0,0,7,5,5,5,5,5,5
5,2,3,0,0,0,0,0,0,7,5,5,5,5,5,5,5
6,0,0,0,8,0,0,8,0,4,5,5,5,5,5,5,5
6,0,0,0,5,0,0,5,0,4,5,5,5,5,5,5,5
