#ステージ横幅、縦幅
20,13
#プレイヤー開始位置
1,6
#お宝位置
18,3
#召喚可能なモンスター
1,0
#初期SP
4
#マップ情報
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,8,0,0,8,0,0,8,0,0,0,0,0,7,8,5
6,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,4,5,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5
5,8,8,8,8,0,8,8,0,8,8,0,8,8,8,8,8,5,5,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,8,0,0,8,0,0,8,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
